Source,Target,Weight
Iraq,Syria,7
Iraq,Yemen,3
Iraq,Turkey,5
Iraq,Egypt,4
Iraq,Israel,3
Iraq,Lebanon,6
Iraq,Libya,3
Iraq,West Bank and Gaza Strip,3
Iraq,Iran,4
Iraq,Saudi Arabia,2
Iraq,France,4
Iraq,Tunisia,2
Iraq,Jordan,6
Iraq,Philippines,2
Iraq,Belgium,3
Iraq,United Kingdom,5
Iraq,Somalia,3
Iraq,Russia,3
Iraq,Indonesia,2
Iraq,Germany,4
Iraq,Australia,2
Iraq,Bahrain,3
Iraq,Malaysia,1
Iraq,Georgia,1
Syria,Yemen,2
Syria,Turkey,7
Syria,Egypt,6
Syria,Israel,8
Syria,Lebanon,11
Syria,Libya,3
Syria,West Bank and Gaza Strip,6
Syria,Iran,6
Syria,Saudi Arabia,3
Syria,France,8
Syria,Tunisia,3
Syria,Jordan,6
Syria,Philippines,2
Syria,Belgium,4
Syria,United Kingdom,7
Syria,Somalia,2
Syria,Russia,2
Syria,Indonesia,2
Syria,Germany,3
Syria,Australia,2
Syria,Bahrain,3
Syria,Malaysia,2
Syria,Georgia,1
Yemen,Turkey,2
Yemen,Egypt,2
Yemen,Israel,2
Yemen,Lebanon,2
Yemen,Libya,3
Yemen,West Bank and Gaza Strip,2
Yemen,Iran,2
Yemen,Saudi Arabia,5
Yemen,France,3
Yemen,Tunisia,2
Yemen,Jordan,2
Yemen,Philippines,2
Yemen,Belgium,2
Yemen,United Kingdom,3
Yemen,Somalia,2
Yemen,Russia,2
Yemen,Indonesia,2
Yemen,Germany,2
Yemen,Australia,2
Yemen,Bahrain,2
Yemen,Malaysia,1
Yemen,Georgia,1
Turkey,Egypt,5
Turkey,Israel,5
Turkey,Lebanon,7
Turkey,Libya,2
Turkey,West Bank and Gaza Strip,4
Turkey,Iran,7
Turkey,Saudi Arabia,3
Turkey,France,7
Turkey,Tunisia,3
Turkey,Jordan,5
Turkey,Philippines,2
Turkey,Belgium,5
Turkey,United Kingdom,5
Turkey,Somalia,3
Turkey,Russia,3
Turkey,Indonesia,2
Turkey,Germany,4
Turkey,Australia,2
Turkey,Bahrain,4
Turkey,Malaysia,1
Turkey,Georgia,1
Egypt,Israel,10
Egypt,Lebanon,8
Egypt,Libya,3
Egypt,West Bank and Gaza Strip,6
Egypt,Iran,4
Egypt,Saudi Arabia,3
Egypt,France,5
Egypt,Tunisia,3
Egypt,Jordan,6
Egypt,Philippines,2
Egypt,Belgium,3
Egypt,United Kingdom,5
Egypt,Somalia,4
Egypt,Russia,3
Egypt,Indonesia,2
Egypt,Germany,2
Egypt,Australia,2
Egypt,Bahrain,4
Egypt,Malaysia,2
Egypt,Georgia,1
Israel,Lebanon,10
Israel,Libya,3
Israel,West Bank and Gaza Strip,15
Israel,Iran,5
Israel,Saudi Arabia,3
Israel,France,8
Israel,Tunisia,3
Israel,Jordan,8
Israel,Philippines,2
Israel,Belgium,4
Israel,United Kingdom,5
Israel,Somalia,2
Israel,Russia,2
Israel,Indonesia,2
Israel,Germany,2
Israel,Australia,3
Israel,Bahrain,3
Israel,Malaysia,2
Israel,Georgia,1
Lebanon,Libya,2
Lebanon,West Bank and Gaza Strip,8
Lebanon,Iran,5
Lebanon,Saudi Arabia,3
Lebanon,France,8
Lebanon,Tunisia,3
Lebanon,Jordan,9
Lebanon,Philippines,2
Lebanon,Belgium,4
Lebanon,United Kingdom,6
Lebanon,Somalia,4
Lebanon,Russia,3
Lebanon,Indonesia,2
Lebanon,Germany,3
Lebanon,Australia,3
Lebanon,Bahrain,4
Lebanon,Malaysia,1
Lebanon,Georgia,1
Libya,West Bank and Gaza Strip,2
Libya,Iran,3
Libya,Saudi Arabia,2
Libya,France,2
Libya,Tunisia,4
Libya,Jordan,2
Libya,Philippines,2
Libya,Belgium,2
Libya,United Kingdom,2
Libya,Somalia,2
Libya,Russia,2
Libya,Indonesia,2
Libya,Germany,2
Libya,Australia,2
Libya,Bahrain,2
Libya,Malaysia,2
Libya,Georgia,1
West Bank and Gaza Strip,Iran,3
West Bank and Gaza Strip,Saudi Arabia,2
West Bank and Gaza Strip,France,7
West Bank and Gaza Strip,Tunisia,2
West Bank and Gaza Strip,Jordan,7
West Bank and Gaza Strip,Philippines,2
West Bank and Gaza Strip,Belgium,4
West Bank and Gaza Strip,United Kingdom,5
West Bank and Gaza Strip,Somalia,2
West Bank and Gaza Strip,Russia,2
West Bank and Gaza Strip,Indonesia,2
West Bank and Gaza Strip,Germany,2
West Bank and Gaza Strip,Australia,3
West Bank and Gaza Strip,Bahrain,2
West Bank and Gaza Strip,Malaysia,1
West Bank and Gaza Strip,Georgia,1
Iran,Saudi Arabia,3
Iran,France,5
Iran,Tunisia,3
Iran,Jordan,3
Iran,Philippines,2
Iran,Belgium,3
Iran,United Kingdom,4
Iran,Somalia,2
Iran,Russia,2
Iran,Indonesia,2
Iran,Germany,4
Iran,Australia,2
Iran,Bahrain,3
Iran,Malaysia,2
Iran,Georgia,1
Saudi Arabia,France,4
Saudi Arabia,Tunisia,3
Saudi Arabia,Jordan,2
Saudi Arabia,Philippines,2
Saudi Arabia,Belgium,2
Saudi Arabia,United Kingdom,3
Saudi Arabia,Somalia,2
Saudi Arabia,Russia,2
Saudi Arabia,Indonesia,2
Saudi Arabia,Germany,2
Saudi Arabia,Australia,2
Saudi Arabia,Bahrain,3
Saudi Arabia,Malaysia,1
Saudi Arabia,Georgia,1
France,Tunisia,4
France,Jordan,6
France,Philippines,2
France,Belgium,6
France,United Kingdom,7
France,Somalia,2
France,Russia,2
France,Indonesia,2
France,Germany,4
France,Australia,3
France,Bahrain,3
France,Malaysia,1
France,Georgia,1
Tunisia,Jordan,2
Tunisia,Philippines,2
Tunisia,Belgium,3
Tunisia,United Kingdom,2
Tunisia,Somalia,2
Tunisia,Russia,2
Tunisia,Indonesia,2
Tunisia,Germany,2
Tunisia,Australia,2
Tunisia,Bahrain,3
