Source,Target,Weight
Colombia,Peru,9
Colombia,Argentina,3
Colombia,Mexico,3
Colombia,Brazil,8
Colombia,Bolivia,5
Peru,Argentina,1
Peru,Mexico,1
Peru,Brazil,6
Peru,Bolivia,4
Argentina,Mexico,2
Argentina,Brazil,5
Argentina,Bolivia,2
Mexico,Brazil,2
Mexico,Bolivia,1
Brazil,Bolivia,4
Nicaragua,El Salvador,2
Nicaragua,Guatemala,2
Nicaragua,Honduras,8
Nicaragua,Costa Rica,3
El Salvador,Guatemala,6
El Salvador,Honduras,3
El Salvador,Costa Rica,2
Guatemala,Honduras,3
Guatemala,Costa Rica,2
Honduras,Costa Rica,3
Colombia,Venezuela,7
Colombia,Ecuador,4
Colombia,Panama,3
Peru,Venezuela,3
Peru,Ecuador,3
Peru,Panama,2
Venezuela,Brazil,4
Venezuela,Ecuador,2
Venezuela,Panama,1
Brazil,Ecuador,3
Brazil,Panama,2
Ecuador,Panama,2
Colombia,Nicaragua,4
Colombia,Honduras,4
United Kingdom,United States,6
United Kingdom,France,7
United Kingdom,Germany,3
United Kingdom,Ireland,6
United Kingdom,Greece,3
United Kingdom,Switzerland,3
United Kingdom,Belgium,5
United Kingdom,Netherlands,4
United Kingdom,Denmark,3
United Kingdom,Portugal,3
United States,France,7
United States,Germany,4
United States,Ireland,1
United States,Greece,3
United States,Switzerland,3
United States,Belgium,4
United States,Netherlands,5
United States,Denmark,3
United States,Portugal,3
France,Germany,5
France,Ireland,1
France,Greece,4
France,Switzerland,3
France,Belgium,5
France,Netherlands,6
France,Denmark,3
France,Portugal,3
Germany,Ireland,1
Germany,Greece,1
Germany,Switzerland,1
Germany,Belgium,3
Germany,Netherlands,4
Germany,Denmark,2
Germany,Portugal,2
Ireland,Greece,1
Ireland,Switzerland,1
Ireland,Belgium,2
Ireland,Netherlands,1
Ireland,Denmark,1
Ireland,Portugal,1
Greece,Switzerland,3
Greece,Belgium,3
Greece,Netherlands,3
Greece,Denmark,2
Greece,Portugal,2
Switzerland,Belgium,3
Switzerland,Netherlands,3
Switzerland,Denmark,2
Switzerland,Portugal,2
Belgium,Netherlands,4
Belgium,Denmark,3
Belgium,Portugal,2
Netherlands,Denmark,2
Netherlands,Portugal,3
Denmark,Portugal,1
Spain,Italy,5
Spain,France,6
Spain,Germany,3
Spain,Mexico,1
Spain,Belgium,3
Spain,Netherlands,5
Italy,France,7
Italy,Germany,5
Italy,Mexico,1
Italy,Belgium,4
Italy,Netherlands,5
France,Mexico,1
Germany,Mexico,1
Mexico,Belgium,1
Mexico,Netherlands,1
Colombia,Chile,2
Colombia,Lebanon,3
